Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-07-01,FRANCISCO DORNELLES,13866.89,4
2009-07-01,FÁTIMA CLEIDE,14961.099999999999,4
2009-07-01,GARIBALDI ALVES FILHO,15116.29,4
2009-07-01,GERALDO MESQUITA JÚNIOR,9538.05,4
2009-07-01,GERSON CAMATA,3360.83,4
2009-07-01,GILBERTO GOELLNER,19569.48,4
2009-07-01,GILVAM BORGES,15000.0,4
2009-07-01,GIM ARGELLO,2000.0,4
2009-07-01,HERÁCLITO FORTES,11102.71,4
2009-07-01,IDELI SALVATTI,15415.67,4
2009-07-01,INÁCIO ARRUDA,15904.6,4
2009-07-01,JARBAS VASCONCELOS,13722.61,4
2009-07-01,JAYME CAMPOS,13033.49,4
2009-07-01,JOSÉ AGRIPINO,9504.5,4
2009-07-01,JOSÉ NERY,14511.42,4
2009-07-01,JOSÉ SARNEY,5000.0,4
2009-07-01,JOÃO DURVAL,14027.58,4
2009-07-01,JOÃO PEDRO,4348.79,4
2009-07-01,JOÃO RIBEIRO,15000.0,4
2009-07-01,JOÃO VICENTE CLAUDINO,16217.42,4
2009-07-01,KÁTIA ABREU,15000.0,4
2009-07-01,LEOMAR QUINTANILHA,4278.36,4
2009-07-01,LOBÃO FILHO,15050.0,4
2009-07-01,LÚCIA VÂNIA,15000.51,4
2009-07-01,MAGNO MALTA,11460.630000000001,4
2009-07-01,MARCELO CRIVELLA,13843.08,4
2009-07-01,MARCONI PERILLO,15050.720000000001,4
2009-07-01,MARIA DO CARMO ALVES,5078.5599999999995,4
2009-07-01,MARINA SILVA,10251.89,4
2009-07-01,MARISA SERRANO,12912.3,4
2009-07-01,MAURO FECURY,1471.8,1
2009-07-01,MOZARILDO CAVALCANTI,26916.33,4
2009-07-01,MÁRIO COUTO,14655.17,4
2009-07-01,MÃO SANTA,14999.78,4
2009-07-01,NEUTO DE CONTO,11721.1,4
2009-07-01,OSMAR DIAS,15650.9,4
2009-07-01,PAPALÉO PAES,10203.380000000001,4
2009-07-01,PATRÍCIA SABOYA GOMES,8210.58,4
2009-07-01,PAULO PAIM,5535.79,4
2009-07-01,RAIMUNDO COLOMBO,14952.21,4
2009-07-01,RENAN CALHEIROS,5889.81,4
2009-07-01,RENATO CASAGRANDE,13128.73,4
2009-07-01,ROBERTO CAVALCANTI,2500.0,4
2009-07-01,ROMERO JUCÁ,11464.43,4
2009-07-01,ROMEU TUMA,7630.73,4
2009-07-01,ROSALBA CIARLINI,14271.35,4
2009-07-01,SERYS SLHESSARENKO,13608.39,4
2009-07-01,SÉRGIO GUERRA,13567.01,4
2009-07-01,SÉRGIO ZAMBIASI,7093.24,4
2009-07-01,TIÃO VIANA,9489.33,4
2009-07-01,VALDIR RAUPP,3823.0,4
2009-07-01,VALTER PEREIRA,15445.16,4
2009-07-01,WELLINGTON SALGADO DE OLIVEIRA,9410.48,4
2009-08-01,ADELMIR SANTANA,13500.0,5
2009-08-01,ALMEIDA LIMA,7462.1900000000005,5
2009-08-01,ALOIZIO MERCADANTE,9660.94,5
2009-08-01,ANTONIO CARLOS JUNIOR,15328.36,5
2009-08-01,ANTÔNIO CARLOS VALADARES,13560.0,5
2009-08-01,ARTHUR VIRGÍLIO,16800.0,5
2009-08-01,AUGUSTO BOTELHO,12489.310000000001,5
2009-08-01,CRISTOVAM BUARQUE,9684.59,5
2009-08-01,CÉSAR BORGES,17390.920000000002,5
2009-08-01,CÍCERO LUCENA,14970.29,5
2009-08-01,DELCIDIO DO AMARAL,14989.15,5
2009-08-01,DEMÓSTENES TORRES,15000.0,5
2009-08-01,EDUARDO AZEREDO,14930.15,5
2009-08-01,EDUARDO SUPLICY,2421.43,5
2009-08-01,EFRAIM MORAIS,1793.09,5
2009-08-01,ELISEU RESENDE,12123.44,5
2009-08-01,EPITÁCIO CAFETEIRA,10242.7,5
2009-08-01,EXPEDITO JUNIOR,15000.0,5
2009-08-01,FERNANDO COLLOR,15563.69,5
2009-08-01,FLEXA RIBEIRO,15134.89,5
2009-08-01,FLÁVIO ARNS,8789.619999999999,5
2009-08-01,FLÁVIO TORRES,11954.49,2
2009-08-01,FRANCISCO DORNELLES,13778.3,5
2009-08-01,FÁTIMA CLEIDE,14411.19,5
2009-08-01,GARIBALDI ALVES FILHO,17625.28,5
2009-08-01,GERALDO MESQUITA JÚNIOR,12643.44,5
2009-08-01,GERSON CAMATA,5572.21,5
2009-08-01,GILBERTO GOELLNER,17614.74,5
2009-08-01,GILVAM BORGES,15000.0,5
2009-08-01,GIM ARGELLO,2000.0,5
2009-08-01,HERÁCLITO FORTES,15134.810000000001,5
2009-08-01,IDELI SALVATTI,14560.52,5
2009-08-01,INÁCIO ARRUDA,12353.39,5
2009-08-01,JARBAS VASCONCELOS,13903.039999999999,5
2009-08-01,JAYME CAMPOS,14048.74,5
2009-08-01,JEFFERSON PRAIA,1884.03,1
2009-08-01,JOSÉ AGRIPINO,9441.47,5
2009-08-01,JOSÉ NERY,11487.3,5
2009-08-01,JOSÉ SARNEY,5000.0,5
2009-08-01,JOÃO DURVAL,11838.34,5
2009-08-01,JOÃO PEDRO,4373.57,5
2009-08-01,JOÃO RIBEIRO,16000.48,5
2009-08-01,JOÃO TENÓRIO,2921.99,1
2009-08-01,JOÃO VICENTE CLAUDINO,14204.81,5
2009-08-01,KÁTIA ABREU,15000.0,5
2009-08-01,LEOMAR QUINTANILHA,6530.43,5
2009-08-01,LOBÃO FILHO,15050.0,5
2009-08-01,LÚCIA VÂNIA,14757.68,5
2009-08-01,MAGNO MALTA,14055.310000000001,5
2009-08-01,MARCELO CRIVELLA,10759.16,5
2009-08-01,MARCONI PERILLO,19851.99,5
2009-08-01,MARIA DO CARMO ALVES,5206.04,5
2009-08-01,MARINA SILVA,7698.0,5
2009-08-01,MARISA SERRANO,16082.4,5
2009-08-01,MAURO FECURY,1760.0,2
2009-08-01,MOZARILDO CAVALCANTI,10441.17,5
2009-08-01,MÁRIO COUTO,12625.53,5
2009-08-01,MÃO SANTA,15942.6,5
2009-08-01,NEUTO DE CONTO,12645.800000000001,5
2009-08-01,OSMAR DIAS,12807.31,5
2009-08-01,PAPALÉO PAES,10209.08,5
2009-08-01,PAULO DUQUE,9784.33,4
2009-08-01,PAULO PAIM,16807.87,5
2009-08-01,RAIMUNDO COLOMBO,14955.85,5
2009-08-01,RENAN CALHEIROS,5780.63,5
